date,produced,mining.value,destroyed
2019-09-13,2897311701212.88,696541172856.7617,954898622658.04
2019-09-14,3250278341027.3765,752226841596.8489,1818927386162.86
2019-09-15,3151851476279.574,797502701954.618,1398139467242.08
2019-09-16,3380394757250.1807,818029686823.6914,911515409842.3
2019-09-17,3046998481396.739,583671552141.5132,714567951256.19
2019-09-18,2879688411476.819,636235470739.7893,779125649538.39
2019-09-19,3215159175824.392,914484986477.5781,797864777289.17
2019-09-20,2771400038244.9653,852439399826.6741,994123188053.62
2019-09-21,3218102681583.7046,1025912547508.0244,1730191798986.81
2019-09-22,3118254931532.6953,1173594647590.2974,1237122950019.02
2019-09-23,2820416601455.07,957351933737.7994,745338311625.82
2019-09-24,2820438088465.3926,975237907196.0176,789951086902.14
2019-09-25,2707716179129.233,959750417860.0245,747579473187.84
2019-09-26,2850910113017.596,1001819657996.6433,819721076782.96
2019-09-27,2976307026942.1753,938646683682.77,1054430515026.93
2019-09-28,2940954599479.2915,1092263120076.7987,1282731835492.13
2019-09-29,3139488657332.4614,1006982008580.271,1219188174313.77
2019-09-30,2781286207098.833,1056373517375.3755,837123403889.71
2019-10-01,2748553708768.926,937084099012.6593,842802819726.58
2019-10-02,2913059170117.415,940422860525.7977,1228751904247.29
2019-10-03,2540157378460.33,999162329447.4047,785231359514.97
2019-10-04,2969649921008.0815,1017405513792.103,896811326062.16
2019-10-05,3095657642798.712,1056885513126.2941,1398229973882.17
2019-10-06,3148893688956.407,1294091318139.7961,1159295149124.19
2019-10-07,3406386767913.4126,1000888086025.3079,775156065461.7
2019-10-08,3214765315521.653,903913356229.4432,777317263564.56
2019-10-09,2891654136063.624,893918610700.7136,831096114084.98
2019-10-10,2886204848526.8057,936816427394.3729,721501570594.19
2019-10-11,2762421779358.041,907252462170.5587,893242137243.33
2019-10-12,3507864708880.567,1021893724713.6653,1226309153312.53
2019-10-13,2978954792595.418,998833182223.9224,1066662689664.91
2019-10-14,3097742856219.399,955638415870.3369,745222611567.97
2019-10-15,3132563370597.1714,952193570216.2081,793198993264.27
2019-10-16,3295791768952.7236,951389739641.9336,815810893600.12
2019-10-17,3348644239798.6196,919739902081.2772,899664182989.12
2019-10-18,3100544074552.186,1017027869819.3833,822631211648.78
2019-10-19,3620419326365.307,1076168662784.7908,1266292719376.17
2019-10-20,3891914901489.743,1264775910866.296,1269976982327.98
2019-10-21,3361825161246.918,1054244313095.4406,765668544244.37
2019-10-22,3099000073535.291,1076321550487.7614,843459465654.61
2019-10-23,3402005145255.7065,989893273434.767,950443658284.89
2019-10-24,2645880920583.814,966410990442.1268,832399493273.93
2019-10-25,2944020144031.6426,1000790861972.3373,1000060442515.4
2019-10-26,3443004612886.196,1086896177895.5579,1389282451349.34
2019-10-27,3471464512112.449,1046293754542.5427,1231005494638.22
2019-10-28,3354174249506.407,911652081568.9603,665095003542.55
2019-10-29,3828643887372.562,941173839035.4724,990745993666.18
2019-10-30,2860514057197.084,908445542461.0183,1358053002998.32
2019-10-31,2534747046814.3228,908993874053.5944,1225773956870.32
2019-11-01,3476422122812.3184,985365451039.4264,1560091026357.83
2019-11-02,3208165548097.453,1276738810773.8953,1755783302217.02
2019-11-03,3420814985184.823,1326076996827.8005,1638532536047.12
2019-11-04,3044317625823.3037,993792232660.6389,1186762474461.54
2019-11-05,2918684948953.871,972537266459.2052,1118616955891.83
2019-11-06,2707334362171.6694,1055433365744.6924,1205430742238.95
2019-11-07,2984143141415.7085,1047695824885.1215,843135473164.59
2019-11-08,3517647695212.7573,1115724246456.8188,925174337255.14
2019-11-09,4071796774072.926,1276738040556.619,1665781405536.09
2019-11-10,3552993979691.8193,1249232930398.1882,1473786018898.63
2019-11-11,3354436055216.6963,1110146948303.4192,932419795415.74
2019-11-12,2923719662562.747,1049002855488.1273,813978155820.8
2019-11-13,3301145915887.119,1091869211008.576,690757896429.24
2019-11-14,3449987474149.487,1106827426966.207,869116952106.18
2019-11-15,3113289261760.793,1045686014177.4767,954618105868.92
2019-11-16,3667338598665.581,1208785971982.576,1544174915162.59
2019-11-17,3864785520934.8174,1403542987303.0837,1389678672399.79
2019-11-18,3772771169022.065,1131528555641.3694,890238147462.49
2019-11-19,3061221750990.756,982694616247.9346,958914575801.8
2019-11-20,3165854722493.218,977091746523.339,879819333025.84
2019-11-21,3663806940859.7383,980109972720.8037,1066277258195.71
2019-11-22,4213865848873.363,1013014022883.5317,972394633261.87
2019-11-23,3507368876733.1255,1175357958426.9749,1549478179974.74
2019-11-24,3317921616122.6587,1210428092703.6233,1401109761292.18
2019-11-25,3362623875379.3228,972236693609.384,991437396727.33
2019-11-26,3396466920615.4004,972748373794.4019,1017738138368.14
2019-11-27,3781177282334.5693,980366809940.462,864835486387.89
2019-11-28,3189065273225.9087,1050805692644.2249,970640092837.61
2019-11-29,3690949568778.725,1101115179636.2322,851731642618.13
2019-11-30,4189680606771.3076,1191819279684.9478,1466322014414.04
2019-12-01,3699624829499.6836,1241277624671.2407,1878486383757.96
2019-12-02,3506150456018.7837,953303184042.0339,866335418172.74
2019-12-03,3835341782154.2563,1070886390084.9152,863057660088.31
2019-12-04,3771055709737.1455,1016662646761.595,899408789179.42
2019-12-05,3225157998361.38,1002875379620.6284,1055187774153.97
2019-12-06,3339493421680.9263,1091316355919.4291,1036729488462.31
2019-12-07,4360758018509.187,1300102024011.9758,1477640922717.48
2019-12-08,3593734264630.5127,1108762950043.8582,1464175744754.51
2019-12-09,3616887025303.8706,1049885188079.9247,808543475462.64
2019-12-10,3820006671438.098,965017215029.768,925835380304.78
2019-12-11,3459226845575.0615,985376662297.4568,893214427354.25
2019-12-12,3862817283178.6445,831410492112.2639,975875394363.9
2019-12-13,3266163735991.587,961582602047.0518,970797087210.03
2019-12-14,3612990612958.9517,1097052311406.9034,1500025599360.91
2019-12-15,3795625220031.3657,1156724674360.7087,1531580312097.52
2019-12-16,3780037666917.415,947906695537.3774,994252835148.77
2019-12-17,3607088746050.0654,862805993083.9368,1105061566930.46
2019-12-18,3622941061801.1294,,1103172260587.88
2019-12-19,3326778165582.8413,,941613421124.67
2019-12-20,3441785681260.421,895489614708.6383,1109952371753.02
2019-12-21,4069049569004.14,1029144242026.1536,1432833115691.66
2019-12-22,3790034385535.338,994947391630.8995,1360558901329.41
2019-12-23,4051158179047.403,949285553732.1188,902790930953.44
2019-12-24,3977982276310.2954,885937303377.6382,872425641350.42
2019-12-25,3458376861821.7144,1045308184870.4866,827062884719.17
2019-12-26,3299968471301.7607,925697067944.221,1210227201793.07
2019-12-27,3950325175941.459,1003743782022.9312,1093259883603.74
2019-12-28,4290308290062.66,1055427713960.5205,1658781399669.1
2019-12-29,4157162504384.0547,1141819529040.9956,1519062514693.3
2019-12-30,4166398102655.936,1034704972632.8541,1257655905495.02
2019-12-31,3419302508612.1226,827153438772.1456,1291735266000.78
2020-01-01,3118104942774.021,998839179998.0835,1255620286098.93
2020-01-02,3443120295821.186,1025125686566.9718,1156276992538.53
2020-01-03,3711178428116.6543,1143549109235.9028,1495860163769.69
2020-01-04,4072769171723.6904,1241096775497.2754,1614328847934.42
2020-01-05,4586083749562.536,1155757030913.6746,1523613534248.5
2020-01-06,4280819579864.6016,1114688723845.9568,1000404746165.97
2020-01-07,3643782874473.089,1010993638448.383,886303165852.45
2020-01-08,3613568438862.344,1084265754202.3098,945684328530.36
2020-01-09,3982960602098.8164,1148328827713.8296,916629072913.64
2020-01-10,4158830535110.404,1101286908439.0322,1121506412840.17
2020-01-11,4508988927050.18,1197729690463.471,1712115308255.91
2020-01-12,4264118090710.705,1286496348235.3003,1585685513665.03
2020-01-13,4287711117222.6685,985678574612.3046,1118926020007.59
2020-01-14,3715124230509.3027,1048040373942.163,963399156623.81
2020-01-15,3883115050211.3267,1135728506409.4856,911234441824.88
2020-01-16,3846304189340.5874,1124457054947.7751,1114417345011.79
2020-01-17,4153270272356.2617,1162744329830.4878,1351197566719.74
2020-01-18,4511141521697.58,1331384219285.0266,1687308055807.26
2020-01-19,4439417391862.994,1264862010693.5735,1614069675114.6
2020-01-20,4088172798964.672,1183306119578.8672,1036944491003.76
2020-01-21,4174558244192.447,1153256981508.1033,919303751895.17
2020-01-22,4004517747788.683,1162735638254.354,963963925701.36
2020-01-23,4132902241594.2764,1217746736892.232,1051898319871.31
2020-01-24,3711923097943.387,1102940128625.9119,1184814155001.81
2020-01-25,4020844540538.4883,1555659716212.8635,1762245345783.49
2020-01-26,4333274774101.839,1462803878237.3557,2027882247326.39
2020-01-27,4092024766051.5747,1258615866035.0068,906242546097.31
2020-01-28,3342582590674.622,831003634677.7948,797275993189.9
2020-01-29,5402608311010.882,1140881903483.6355,1089032115444.88
2020-01-30,4260626368118.2734,1065093859399.3083,892377545631.75
2020-01-31,3359129627008.664,651401558485.7068,1048080254027.34
2020-02-01,3528402033815.274,1137407116190.2947,1277411371778.57
2020-02-02,3676698543440.6504,1081745982155.215,1491703612521.95
2020-02-03,4242342468438.8145,909980641539.4436,912529767149.08
2020-02-04,3980297771763.716,1047878794025.5269,932388207400.5
2020-02-05,3699001980902.739,1046519441395.711,985696620886.32
2020-02-06,3701819416017.725,1018488514406.9215,1179485416557.09
2020-02-07,4565259072815.766,1033146155760.9559,1142423054082.17
2020-02-08,3734787136393.682,1523260753834.7742,1699162978361.32
2020-02-09,4167224900523.9834,1462753597901.4531,2002448061630.67
2020-02-10,4315681791625.174,1202764944482.093,1139809254067.1
2020-02-11,4415590927267.387,1051956887587.2657,1037854250245.46
2020-02-12,3810288695971.487,1014660864723.1958,930068906036.35
2020-02-13,3762977005399.556,861248307864.865,1285823949591.31
2020-02-14,4067292952994.2407,901259481271.6061,1318887622092.48
2020-02-15,4289006274790.5415,1140035641482.5671,1870224929666.95
2020-02-16,3959731610986.564,1062358437192.4791,2035426389812.38
2020-02-17,4124905010936.836,1099377913660.651,1451367199523.16
2020-02-18,3855010017737.6865,1129640552350.9912,1119558985442.22
2020-02-19,4062805827381.763,1259424682610.138,1029265191720.14
2020-02-20,3679976646055.21,992107914183.4414,1097443933532.08
2020-02-21,3889851654498.8174,995157238409.2397,1213215978951.71
2020-02-22,4049871780801.3735,1230326039262.1711,1695967032359.52
2020-02-23,4348944597075.308,1345890719086.5645,1753749516467.88
2020-02-24,4401537613714.974,1004010253452.1846,1012711010497.34
2020-02-25,4284102737272.954,898435186047.082,1118127155488.25
2020-02-26,3961357331313.6147,919613627112.1637,1091074899203.4
2020-02-27,4087444051544.7715,983073213491.3562,1141212823530.14
2020-02-28,3670754573104.1914,1041973822255.4033,1364878232934.03
2020-02-29,3813366553056.355,1261708992506.3958,2248913002857.15
2020-03-01,4239960678387.584,1255478754877.6567,1950979250610.77
2020-03-02,3822308241760.666,1009299390921.9618,1064147317980.83
2020-03-03,3990791207052.4194,928289465778.8815,921204965076.39
2020-03-04,3635990262201.2515,991259011667.9294,939400813933.65
2020-03-05,3602401050263.2715,941408953751.4712,1028889425933.7
2020-03-06,3674861083382.0303,1210231024853.6147,1116159033980.95
2020-03-07,3849246840273.19,1302868468574.8032,1996958962269.33
2020-03-08,3799074279252.6953,1499322055765.727,1661357358651.89
2020-03-09,3755858638799.457,1116360251714.6958,1723013531399.6
2020-03-10,3391789895251.4937,1124109217226.4614,1009333682911.07
2020-03-11,3313426076595.657,998034582318.5486,1091190736768.5
2020-03-12,3432386896416.154,1044513132870.6312,1113723092191.63
2020-03-13,3327327176881.8296,1132404321443.8474,1370739221081.08
2020-03-14,3844656808445.578,1262436626911.4038,
2020-03-15,4018470235097.35,1263337754170.912,1719062265724.29
2020-03-16,3807327469803.4443,1075146766751.665,1200484183902.46
2020-03-17,3755599023490.0547,1112648649407.109,
2020-03-18,3667566830989.1514,1063428023993.7583,1223497615808.38
2020-03-19,3581834446857.4175,993499589043.2659,1199339658424.3
2020-03-20,3604405469899.6304,1145968406080.1848,1273818731300.59
